STATION_NAME_RAW,STATION_NAME,NAME_CHANGED?,Complex ID,Latitude,Longitude,Neighborhood,PUMA,Borough
BERGEN ST-FG,"BERGEN ST (F,G)",NO,236,40.686145,-73.990862,Brooklyn Heights & Fort Greene ,4004,Brooklyn
BEVERLEY ROAD-BQ,"BEVERLEY RD (B,Q)",NO,45,40.644031,-73.964492,Flatbush & Midwood ,4015,Brooklyn
BEVERLY RD-25,"BEVERLY RD (2,5)",NO,357,40.645098,-73.948959,"East Flatbush, Farragut & Rugby ",4010,Brooklyn
BLEECKER ST-6DF,"BROADWAY-LAFAYETTE ST-BLEECKER ST (6,B,D,F,M)",DUPLICATED,619,40.725915,-73.994659,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
BOROUGH HALL-2345R,"BOROUGH HALL/COURT ST (2,3,4,5,R)",COMBINED,620,40.692404,-73.990151,Brooklyn Heights & Fort Greene ,4004,Brooklyn
BOROUGH HALL-R2345,"BOROUGH HALL/COURT ST (2,3,4,5,R)",COMBINED,620,40.692404,-73.990151,Brooklyn Heights & Fort Greene ,4004,Brooklyn
BOTANIC GARDEN-S2345,BOTANIC GARDEN (S),NAME_ONLY,626,40.670343,-73.959245,"Crown Heights South, Prospect Lefferts & Wingate ",4011,Brooklyn
BOWERY-JZ,"BOWERY (J,Z)",NO,103,40.72028,-73.993915,Chinatown & Lower East Side ,3809,Manhattan
BOWLING GREEN-45,"BOWLING GREEN (4,5)",NO,414,40.704817,-74.014065,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
BRIARWOOD-EF,"BRIARWOOD (E,F)",NO,258,40.709179,-73.820574,Richmond Hill & Woodhaven ,4111,Queens
BRIGHTON BEACH-BQ,"BRIGHTON BEACH (B,Q)",NO,55,40.577621,-73.961376,Brighton Beach & Coney Island ,4018,Brooklyn
BROAD CHANNEL-AS,"BROAD CHANNEL (A,S)",NO,199,40.608382,-73.815925,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BROAD ST-JZ,"BROAD ST (J,Z)",NO,107,40.706476,-74.011056,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
